No;Þirket Adý
1;2MC YAPI SAN. VE TÝC. LTD. ÞTÝ.
2;3F POLÝÜRETAN YAPI TASARIM ORG. SAN. VE TÝC. LTD. ÞTÝ.
3;5K MÜHENDÝSLÝK & ALAMANA YAPI MALZEMELERÝ
4;A PROFÝL SAN. VE TÝC. A.Þ.
5;A. SAHOGLULARI LTD
6;ABS YAPI ELEMANLARI SAN. TÝC. LTD. ÞTÝ.
7;ABT BÝLGÝSAYAR - WINWORLD
8;ADAKAYA PANEL ÝNÞAAT
9;ADALI CAM DEKORASYON SAN. VE TÝC. LTD. ÞTÝ.
10;ADANA ÝNCÝHAN MAKÝNE KÝM. ÝNÞ. TAAH. SAN. VE TÝC. LTD.ÞTÝ.
11;ADDITIONAL LIABILITY COMPANY “VIMALA”
12;ADEMSAN MAKÝNA MÜHENDÝSLÝK ASANSÖR ÝNÞAAT ÝSKELE SAN. VE TÝC. LTD. ÞTÝ.
13;AGALÝ METAL MAKÝNA ÝNÞ. OTO. TEKS. PETR. KÝMYA SAN. VE TÝC. LTD. ÞTÝ.
14;AGS METAL SAN. ÝÇ VE DIÞ TÝC. LTD. ÞTÝ.
15;AHMET ASLANSOY PAMUK TEKSTÝL SAN. VE TÝC. A.Þ.
16;AKCÝHAN CAM SAN. VE TÝC. LTD. ÞTÝ.
17;AKDAÐ MÝNERAL TAÞYÜNÜ
18;AKEL ÝNÞ. TAAH. OTOM. TEKST. KUYUM. GIDA SAN. VE DIÞ TÝC. LTD. ÞTÝ.
19;AKKÝM YAPI KÝMYASALLARI
20;AKRÝKEM
21;AKSAN ÞÖMÝNE BARBEKÜ SAN. TÝC. LTD. ÞTÝ.
22;AKYÜZLER ÝNÞAAT MALZEMELERÝ SAN.TÝC.LTD.ÞTÝ.
23;AL JOUD PLASTIC
24;AL THURAIYA PLASTIC FACTORY
25;ALAMANA YAPI MALZEMLERI SAN. VE TIC LTD
26;ALFA07 ORMAN ÜRÜNLERÝ SAN. VE TÝC. LTD. ÞTÝ.
27;ALPHA MACHINERY MAKÝNE ÝMALATI SAN.TÝC.LTD.ÞTÝ.
28;ALTAÝ YAPI ENDÜSTRÝ A.Þ.
29;ALTE ALÜMÝNYUM SAN. VE TÝC. LTD. ÞTÝ.
30;ALTERNATÝF YAYINCILIK TANITIM HÝZM. SAN. VE TÝC. LTD. ÞTÝ.
31;ALUÇ AHÞAP YAPI VE YAPI MALZEMELERÝ A.Þ.
32;ALURAYS MIDDLE EAST LIGHTING MANUFACTURING W.L.L
33;ALUTEM - ALUMINIUM PROFILES
34;AMT LLC
35;"AN AUTONOMOUS NON-COMMERCIAL ORGANIZATION ""YAROSLAVL REGION EXPORT ASSISTANCE CENTRE"""
36;ANADOLU BANT STÝL
37;ANAS METAL ÝNÞ VE OTOM. SAN. TÝC. LTD. ÞTÝ.
38;ANKARA ALBAYRAK MAKÝNA MÜH. ASANSÖR ÝSKELE SAN. VE TÝC. LTD.ÞTÝ.
39;ANPING COUNTY JINGZHI WIRE MESH PRODUCTS CO., LTD.
40;APAYDIN METAL ÜRÜNLERÝ SAN. TÝC. A.Þ.
41;AQUATEX YAPI KÝMYASALLARI ÝNÞ. ÜRET. VE PAZ. SAN. TÝC. LTD. ÞTÝ.
42;ARADSAN MAKÝNA ÝMALAT SAN. TÝC. LTD. ÞTÝ.
43;ARAL TOPRAK KÖMÜR VE NAKL. ÝTH. ÝHR. SAN. TÝC. LTD. ÞTÝ.
44;ARBOR AHÞAP PENCERE
45;ARFEN ALÜMÝNYUM SAN. VE TÝC. A.Þ.
46;ARFEN ÝNÞAAT VE YAPI TEKNOLOJÝLERÝ SAN. TÝC. ANONÝM ÞÝRKETÝ
47;ARFEN KÖPRÜ VE YAPI TEKNOLOJÝLERÝ SAN. VE  TÝC. A.Þ.
48;ARG MEKANÝK MÜHENDÝSLÝK BACA SAN. VE TÝC. LTD. ÞTÝ.
49;ARKITECH
50;ARMAÐAN ORMAN ÜRÜNLERÝ TURZ. ÝNÞ. SAN.VE TÝC.A.Þ.
51;ARSAN KAUÇUK PLASTÝK MAKÝNA SANAYÝ VE TÝCARET A.Þ.
52;ARSLANLI ALÇI VE HAMMADDELERÝ SAN. TÝC. A.Þ.
53;AS PLASTÝK SAN. TÝC. LTD. ÞTÝ.
54;ASDER ASANSÖR SANAYÝCÝLERÝ DERNEÐÝ
