No;Þirket Adý;Þirket Adý2;Column1;Column2;Column3;Column4;Column5
1;2mc yapi san. ve ti?c. ltd. þti?.;NaN; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
2;5k mühendi?sli?k & alamana yapi malzemeleri?;https://www.redpaint.com.tr; BOYALAR VE BÝTÝRME;HÝZMETLER;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI KÝMYASALLARI VE YALITIM;
3;a profi?l san. ve ti?c. a.þ.;http://www.aprofil.com.tr; CEPHE VE ÇATI;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
4;abs yapi elemanlari san. ti?c. ltd. þti?.;https://www.absyapi.com.tr; HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
5;abt bi?lgi?sayar - winworld;http://www.winworld.net; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;PENCERE VE PROFÝL SÝSTEMLERÝ;;
6;adakaya panel i?nþaat;http://www.adakayapanel.com.tr; CEPHE VE ÇATI;;;;
7;adali cam dekorasyon san. ve ti?c. ltd. þti?.;https://www.adalicam.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;BÝNA ÝÇÝ TASARIM VE DEKORASYON;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
8;adana i?nci?han maki?ne ki?m. i?nþ. taah. san. ve ti?c. ltd.þti?.;http://www.politile.com; CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
9;additional liability company “vimala”;http://www.gomel-fox.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;;
10;ademsan maki?na mühendi?sli?k asansör i?nþaat i?skele san. ve ti?c. ltd. þti?.;http://www.ademsan.com; CEPHE VE ÇATI;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
11;agali? metal maki?na i?nþ. oto. teks. petr. ki?mya san. ve ti?c. ltd. þti?.;https://www.aycit.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
12;ags metal san. i?ç ve diþ ti?c. ltd. þti?.;http://www.agsmetal.com; CEPHE VE ÇATI;HÝZMETLER;;;
13;ahm grup yaþam teknoloji?leri? medi?kal i?nþ. san. ve ti?c. ltd. þti?.;https://www.ribatpanel.com;;;;;
